mpi, 5, 5, 200, 4.091220140457153, 3.924036455154419
mpi, 5, 5, 200, 4.059158086776733, 3.9230105364322663
mpi, 5, 5, 200, 3.973252058029175, 3.924206440448761
mpi, 5, 5, 200, 3.9820520877838135, 3.885648822784424
mpi, 5, 5, 200, 4.091712951660156, 3.9209220886230467
mpi, 10, 10, 200, 3.9325830936431885, 3.880334817171097
mpi, 10, 10, 200, 3.977447032928467, 3.909896908998489
mpi, 10, 10, 200, 3.94577693939209, 3.8919831228256228
mpi, 10, 10, 200, 3.9483158588409424, 3.8883584678173064
mpi, 10, 10, 200, 3.9387080669403076, 3.8959443616867064
mpi, 15, 15, 200, 4.038272857666016, 3.96357990026474
mpi, 15, 15, 200, 4.080621957778931, 4.004338972568512
mpi, 15, 15, 200, 3.994694948196411, 3.977948343753815
mpi, 15, 15, 200, 795.1262938976288, 3.9755872178077696
mpi, 15, 15, 200, 800.3814167976379, 4.001862864494324
mpi, 20, 20, 200, 796.3248960971832, 3.9815810227394106
